rundate,last_period,reporting_airport_group_name,reporting_airport_name,total_pax_this_period,total_pax_last_period,total_pax_percent,terminal_pax_this_period,terminal_pax_last_period,terminal_pax_percent,transit_pax_this_period,transit_pax_last_period,transit_pax_percent,date
1/22/2025 5:44:27 PM,202304,Other UK Airports,KIRKWALL,12661,10531,20.225999,10531,10407,1.191506,2130,124,1617.741935,2024-04-01
1/22/2025 5:44:27 PM,202304,Other UK Airports,LANDS END (ST JUST),4206,5055,-16.795252,4185,5029,-16.782661,21,26,-19.230769,2024-04-01
1/22/2025 5:44:27 PM,202304,Other UK Airports,LEEDS BRADFORD,312032,304588,2.443957,311948,304588,2.416379,84,0,Null,2024-04-01
1/22/2025 5:44:27 PM,202304,Other UK Airports,LERWICK (TINGWALL),217,232,-6.465517,217,232,-6.465517,0,0,Null,2024-04-01
1/22/2025 5:44:27 PM,202304,Other UK Airports,LIVERPOOL (JOHN LENNON),430200,373572,15.158524,430200,373386,15.215889,0,186,Null,2024-04-01
1/22/2025 5:44:27 PM,202304,London Area Airports,LONDON CITY,290967,286692,1.491147,290967,286692,1.491147,0,0,Null,2024-04-01
1/22/2025 5:44:27 PM,202304,London Area Airports,LUTON,1440344,1402365,2.708211,1439848,1402233,2.682507,496,132,275.757576,2024-04-01
1/22/2025 5:44:27 PM,202304,Other UK Airports,MANCHESTER,2414033,2177868,10.843862,2411741,2176729,10.796567,2292,1139,101.229148,2024-04-01
1/22/2025 5:44:27 PM,202304,Other UK Airports,NEWCASTLE,388922,366331,6.166827,388706,366199,6.146112,216,132,63.636364,2024-04-01
1/22/2025 5:44:27 PM,202304,Other UK Airports,NEWQUAY,32478,36630,-11.334971,32478,36630,-11.334971,0,0,Null,2024-04-01
1/22/2025 5:44:27 PM,202304,Other UK Airports,NORWICH,29471,22910,28.638149,29471,22910,28.638149,0,0,Null,2024-04-01
1/22/2025 5:44:27 PM,202304,Other UK Airports,PRESTWICK,53446,56820,-5.93805,53342,56634,-5.812763,104,186,-44.086022,2024-04-01
1/22/2025 5:44:27 PM,202304,Other UK Airports,SOUTHAMPTON,64734,61999,4.411361,64684,61971,4.377854,50,28,78.571429,2024-04-01
1/22/2025 5:44:27 PM,202304,London Area Airports,SOUTHEND,15971,2860,458.426573,15971,2860,458.426573,0,0,Null,2024-04-01
1/22/2025 5:44:27 PM,202304,London Area Airports,STANSTED,2479728,2350804,5.484251,2479724,2350804,5.484081,4,0,Null,2024-04-01
1/22/2025 5:44:27 PM,202304,Other UK Airports,STORNOWAY,8054,7416,8.60302,8054,7416,8.60302,0,0,Null,2024-04-01
1/22/2025 5:44:27 PM,202304,Other UK Airports,SUMBURGH,24463,20786,17.689791,23759,20786,14.302896,704,0,Null,2024-04-01
